City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,sobolevo,54.4299,31.8996,20.79,94,100,11.01,RU,1675563950
254,rio gallegos,-51.6226,-69.2181,60.85,72,40,12.66,AR,1675563950
255,port elizabeth,-33.918,25.5701,74.32,72,0,3.44,ZA,1675563951
256,presidencia roque saenz pena,-26.7852,-60.4388,73.58,39,100,5.48,AR,1675563951
257,khasan,42.4308,130.6434,24.93,62,16,3.2,RU,1675563952
258,erzin,36.9559,36.2,41.49,87,100,7.0,TR,1675563952
259,vila velha,-20.3297,-40.2925,80.55,85,0,11.5,BR,1675563953
260,tiarei,-17.5333,-149.3333,86.02,78,86,14.76,PF,1675563953
261,carbonia,39.1672,8.5222,41.65,88,0,5.03,IT,1675563954
262,ucluelet,48.9329,-125.5528,49.08,88,100,3.0,CA,1675563925
263,diamantino,-14.4086,-56.4461,71.15,92,100,1.95,BR,1675563822
264,beringovskiy,63.05,179.3167,-15.88,85,99,15.55,RU,1675563955
265,airai,-8.9266,125.4092,67.14,77,95,3.78,TL,1675563955
266,petrov val,50.1434,45.2096,18.34,96,100,5.55,RU,1675563956
267,esperance,-33.8667,121.9,79.29,43,0,9.08,AU,1675563956
268,santo tomas,14.1079,121.1414,79.56,64,73,10.13,PH,1675563957
269,port lincoln,-34.7333,135.8667,69.3,57,39,8.43,AU,1675563957
270,honiara,-9.4333,159.95,83.53,82,99,4.38,SB,1675563958
271,homer,59.6425,-151.5483,30.07,86,100,5.75,US,1675563958
272,kupang,-10.1667,123.5833,79.38,94,75,6.91,ID,1675563959
273,lagos,6.5833,3.75,82.72,87,63,4.7,NG,1675563545
274,kilindoni,-7.9139,39.6668,81.0,78,98,9.33,TZ,1675563960
275,raudeberg,61.9875,5.1352,39.96,17,100,12.01,NO,1675563960
276,chokurdakh,70.6333,147.9167,-25.1,98,100,8.1,RU,1675563719
277,coahuayana,18.7333,-103.6833,71.28,79,0,1.19,MX,1675563961
278,talnakh,69.4865,88.3972,13.21,95,100,7.43,RU,1675563962
279,kalat,29.0225,66.5916,42.46,66,1,4.99,PK,1675563962
280,isiolo,0.3546,37.5822,65.79,58,99,6.08,KE,1675563963
